id,item_id,area_id,price,quantity
22,58,2,65.3,6
60,56,0,10.9,9
81,53,1,89.8,3
45,24,5,29.9,1
45,14,5,55.6,6
39,3,19,70.9,2
79,45,19,83.7,3
94,10,14,20.1,6
31,24,11,57.6,5
56,54,16,17.4,8
65,97,5,8.8,5
99,7,19,47.9,2
1,44,1,80.9,4
17,32,17,37.0,9
39,7,19,73.6,5
32,7,12,71.9,1
51,8,11,17.5,10
77,62,17,50.1,2
88,61,8,66.4,8
84,21,4,39.0,8
65,24,5,55.0,6
45,76,5,24.7,7
34,32,14,60.0,7
21,65,1,46.6,3
33,65,13,20.0,4
87,54,7,47.1,5
73,19,13,3.8,7
42,76,2,32.5,4
70,54,10,6.4,7
82,39,2,55.2,7
69,94,9,48.2,6
36,1,16,44.8,6
50,38,10,59.9,1
28,95,8,31.8,4
47,74,7,42.3,4
46,5,6,55.5,4
98,28,18,74.7,5
45,28,5,12.6,2
87,54,7,79.9,2
2,67,2,7.3,7
99,88,19,26.5,6
57,4,17,61.6,2
72,54,12,19.7,4
89,28,9,50.8,1
90,14,10,40.3,7
98,17,18,38.3,4
39,86,19,82.8,10
50,15,10,27.1,1
43,77,3,87.1,10
8,64,8,54.7,2
10,39,10,96.3,7
92,78,12,89.0,6
31,6,11,28.5,10
57,92,17,38.3,5
61,8,1,71.1,3
64,91,4,46.3,8
3,70,3,70.0,3
43,34,3,58.3,7
66,11,6,56.5,10
10,23,10,61.7,8
11,82,11,71.1,9
23,48,3,7.9,2
37,65,17,97.5,2
32,20,12,86.6,8
59,49,19,68.4,2
28,11,8,28.6,5
87,42,7,26.0,1
1,21,1,25.1,10
62,65,2,81.6,3
88,14,8,73.8,8
15,89,15,74.3,7
94,83,14,70.1,3
79,70,19,82.6,3
37,80,17,4.2,7
55,50,15,13.1,5
32,35,12,76.4,9
43,68,3,81.9,7
13,24,13,76.7,9
87,40,7,81.8,6
73,90,13,77.9,1
94,35,14,36.3,5
74,72,14,26.9,2
38,55,18,85.1,10
14,44,14,15.2,1
17,81,17,94.8,7
32,34,12,44.1,2
59,78,19,63.7,7
83,100,3,47.2,4
19,54,19,86.7,6
72,32,12,92.5,9
74,2,14,26.5,1
91,29,11,82.8,2
75,61,15,72.7,6
13,30,13,37.8,10
83,90,3,98.2,10
50,91,10,41.7,10
49,75,9,21.0,4
37,83,17,42.2,7
83,9,3,89.2,10
63,89,3,3.3,8
37,36,17,67.5,7
93,26,13,24.9,4
19,15,19,23.8,1
50,32,10,74.7,1
86,38,6,27.5,5
98,58,18,48.2,4
5,88,5,2.1,1
17,53,17,26.1,7
69,44,9,96.1,2
52,68,12,37.6,2
21,39,1,7.2,3
54,35,14,59.8,1
23,71,3,35.0,5
41,64,1,42.4,9
62,81,2,32.9,7
87,69,7,97.7,3
81,52,1,3.9,7
94,86,14,95.8,1
97,50,17,3.9,5
28,56,8,90.4,2
68,34,8,24.7,4
49,76,9,6.3,4
83,51,3,42.2,9
47,34,7,53.1,8
58,56,18,10.9,10
16,22,16,35.8,3
58,75,18,52.7,9
26,36,6,72.9,2
42,76,2,95.5,2
41,23,1,95.5,5
78,39,18,7.0,7
98,64,18,59.0,6
69,13,9,91.3,3
73,48,13,38.6,3
38,24,18,23.8,9
65,88,5,13.5,9
89,79,9,37.7,5
86,65,6,18.9,7
85,24,5,9.7,10
26,70,6,79.8,3
47,47,7,19.6,9
61,84,1,35.5,2
82,6,2,28.5,1
89,77,9,89.8,3
42,32,2,93.5,2
66,7,6,49.9,7
74,22,14,26.3,1
88,77,8,59.3,6
24,67,4,69.9,7
14,84,14,38.0,10
76,83,16,76.5,6
95,15,15,38.1,6
77,17,17,27.3,2
5,49,5,88.0,8
35,44,15,28.2,1
53,35,13,27.5,10
19,5,19,93.0,3
58,71,18,93.6,7
14,25,14,35.9,3
94,80,14,87.5,10
3,33,3,6.6,2
31,31,11,51.5,5
28,74,8,33.3,2
18,21,18,94.5,6
20,5,0,4.4,10
91,86,11,20.7,7
33,29,13,14.3,4
78,73,18,38.7,6
85,27,5,47.0,4
68,99,8,16.7,3
63,96,3,98.2,6
74,6,14,9.7,9
42,20,2,48.9,8
84,17,4,42.1,4
34,8,14,4.3,2
8,88,8,79.2,9
21,39,1,10.6,10
50,43,10,96.3,10
59,9,19,99.6,2
11,38,11,46.9,9
82,57,2,58.5,1
18,64,18,32.0,8
65,40,5,27.6,5
9,59,9,83.7,1
71,56,11,40.2,5
63,91,3,11.0,10
24,61,4,6.2,6
26,84,6,82.4,1
95,59,15,70.3,7
66,44,6,99.0,1
68,87,8,41.9,9
84,1,4,54.1,10
10,53,10,59.5,7
45,51,5,1.2,1
67,59,7,14.7,7
68,43,8,96.7,3
70,20,10,78.0,3
23,20,3,7.9,5
80,4,0,27.2,6
39,77,19,10.3,6
77,25,17,25.5,5
14,2,14,93.1,10
38,58,18,26.1,5
11,68,11,45.7,2
34,36,14,73.6,4
92,94,12,46.8,4
35,21,15,93.2,7
100,3,0,19.5,4
88,88,8,46.4,2
32,49,12,78.0,9
5,46,5,52.0,5
16,72,16,85.4,10
90,24,10,37.1,1
12,66,12,81.1,8
88,28,8,47.8,7
51,38,11,54.6,10
